0.000 -0.792
0.010 5.410
0.020 11.081
0.030 14.560
0.040 14.664
0.050 13.872
0.060 11.403
0.071 7.673
0.080 3.612
0.090 -4.014
0.098 -8.983
0.110 -13.154
0.118 -15.411
0.128 -13.841
0.140 -11.374
0.150 -5.408
0.160 1.297
0.170 8.719
0.180 14.719
0.190 17.322
0.200 16.696
0.210 14.834
0.220 11.574
0.230 5.970
0.240 -2.100
0.250 -7.509
0.260 -11.410
0.270 -12.621
0.280 -13.416
0.290 -12.118
0.300 -8.285
0.308 -2.024
0.320 6.231
0.330 13.980
0.340 15.417
0.350 14.051
0.360 12.207
0.370 8.949
0.380 3.843
0.390 -2.030
0.400 -6.415
0.410 -9.250
0.420 -10.409
0.430 -8.713
0.440 -6.344
0.450 -0.080
0.460 4.481
0.470 9.308
0.480 11.424
0.490 10.559
