0.000 3.265
0.010 1.811
0.020 -1.279
0.030 -4.596
0.040 -8.793
0.050 -11.068
0.060 -12.304
0.071 -11.969
0.080 -9.718
0.090 -4.746
0.098 0.856
0.110 8.202
0.118 13.891
0.128 18.859
0.140 21.406
0.150 16.599
0.160 12.516
0.170 7.075
0.180 0.507
0.190 -4.100
0.200 -7.569
0.210 -7.966
0.220 -7.166
0.230 -4.090
0.240 1.062
0.250 5.430
0.260 11.260
0.270 13.687
0.280 15.542
0.290 15.826
0.300 14.468
0.308 10.521
0.320 5.613
0.330 1.168
0.340 -1.755
0.350 -3.116
0.360 -3.674
0.370 -1.907
0.380 0.976
0.390 4.225
0.400 7.386
0.410 9.029
0.420 9.977
0.430 9.903
0.440 8.666
0.450 4.491
0.460 0.602
0.470 -1.530
0.480 -2.114
0.490 -5.207
