0.000 -0.002
0.010 0.061
0.020 0.131
0.030 0.179
0.040 0.241
0.050 0.277
0.060 0.299
0.071 0.290
0.080 0.263
0.090 0.189
0.098 0.118
0.110 0.064
0.118 0.015
0.128 -0.014
0.140 -0.036
0.150 -0.007
0.160 0.064
0.170 0.153
0.180 0.226
0.190 0.303
0.200 0.342
0.210 0.340
0.220 0.318
0.230 0.255
0.240 0.150
0.250 0.096
0.260 0.060
0.270 0.038
0.280 0.014
0.290 0.001
0.300 0.020
0.308 0.080
0.320 0.142
0.330 0.202
0.340 0.232
0.350 0.257
0.360 0.245
0.370 0.209
0.380 0.191
0.390 0.158
0.400 0.154
0.410 0.137
0.420 0.130
0.430 0.124
0.440 0.134
0.450 0.203
0.460 0.246
0.470 0.292
0.480 0.299
0.490 0.285
