0.000 -1.345
0.010 -0.350
0.020 1.378
0.030 3.074
0.040 4.998
0.050 5.625
0.060 5.140
0.071 4.726
0.080 3.278
0.090 1.478
0.098 0.365
0.110 -2.057
0.118 -5.847
0.128 -8.108
0.140 -8.148
0.150 -7.141
0.160 -4.472
0.170 -1.548
0.180 2.098
0.190 5.181
0.200 5.978
0.210 6.017
0.220 5.055
0.230 3.716
0.240 1.512
0.250 -0.490
0.260 -3.897
0.270 -6.075
0.280 -7.529
0.290 -6.685
0.300 -5.499
0.308 -3.500
0.320 -0.548
0.330 2.688
0.340 4.963
0.350 4.977
0.360 4.388
0.370 3.328
0.380 1.878
0.390 0.166
0.400 -2.250
0.410 -3.724
0.420 -4.814
0.430 -4.677
0.440 -3.679
0.450 -1.494
0.460 -0.239
0.470 0.987
0.480 2.213
0.490 1.895
