time: 01/08/2022 15:21:25, action: 0, number_experiments: 14, joints_pos: (1.1279991308795374, -0.9532311719707032, -0.08453637758363897, -2.4317661724486292, -1.55078632036318, 0.02612614631652832), gripper_pos: (-1.2488124067887583, -0.0768765464208508, 0.37867401855554117, -0.6993446660269451, -0.6303148249516068, 0.23884265840814653, 0.23785382921116743)
time: 01/08/2022 15:22:08, action: 0, number_experiments: 14, joints_pos: (1.1276643911944788, -0.9533269566348572, -0.0844648520099085, -2.432016988793844, -1.5508821646319788, 0.02625751495361328), gripper_pos: (-1.2489386057782816, -0.07698416532742179, 0.3790984017577259, -0.6992818497944906, -0.6302287353652435, 0.23904527201991208, 0.23806300341054196)
time: 01/08/2022 15:22:37, action: 1, number_experiments: 14, joints_pos: (1.1278923193561, -0.9531840246966858, -0.08428556123842412, -2.4319216213622035, -1.5508821646319788, 0.026233673095703125), gripper_pos: (-1.2488632482565498, -0.07714910972764272, 0.3787593330127571, -0.699282998761695, -0.6303297841424728, 0.23892179690888216, 0.23791600582471537)
time: 01/08/2022 15:22:54, action: 1, number_experiments: 14, joints_pos: (1.1278322378741663, -0.9532432121089478, -0.08441669145692998, -2.4319097004332484, -1.5508821646319788, 0.026245594024658203), gripper_pos: (-1.2488772786935356, -0.07698507966440345, 0.37888186510571153, -0.6993142088101972, -0.6302681403953627, 0.2389421790316223, 0.2379671062108363)
time: 01/08/2022 15:23:21, action: 2, number_experiments: 14, joints_pos: (1.1278322378741663, -0.9530638021281739, -0.08420211473573858, -2.4319216213622035, -1.5508821646319788, 0.026281513273715973), gripper_pos: (-1.248898550267037, -0.07724966695171956, 0.3786635933685998, -0.6992795775678996, -0.6303487128400435, 0.23891805062490062, 0.2378796706382409)
time: 01/08/2022 15:23:50, action: 2, number_experiments: 14, joints_pos: (1.1278446356402796, -0.9531001013568421, -0.08441716829408819, -2.4318138561644496, -1.5508464018451136, 0.026317324489355087), gripper_pos: (-1.2488834877227417, -0.07699676666634536, 0.3786632043969219, -0.6993652248795007, -0.6302745414526247, 0.23888195074609428, 0.23786066979151835)
time: 01/08/2022 15:24:05, action: 3, number_experiments: 3, joints_pos: (1.1275580565081995, -0.9533631962588807, -0.08452397981752569, -2.4318376980223597, -1.5508816877948206, 0.026209920644760132), gripper_pos: (-1.2489294744110944, -0.07684768941705021, 0.379249576685995, -0.699295074539084, -0.630208257738389, 0.23902905471962688, 0.2380946484143709)
time: 01/08/2022 15:24:28, action: 3, number_experiments: 14, joints_pos: (1.1279037634478968, -0.9530515831759949, -0.08433324495424444, -2.431777616540426, -1.5508349577533167, 0.02624567784368992), gripper_pos: (-1.248861857336596, -0.07710695946827612, 0.3785393383416005, -0.6993334145614019, -0.6303459565120272, 0.23884099284743668, 0.23780607755580754)
time: 01/08/2022 15:24:52, action: 3, number_experiments: 15, joints_pos: (1.1279400030719202, -0.9531958860209961, -0.0841901938067835, -2.4318257770934046, -1.5508464018451136, 0.026138367131352425), gripper_pos: (-0.6127, 0.0, 0.0, 0.0, 0.0, 0.534545607193371, 0.84513962978331)
time: 01/08/2022 15:26:25, action: 0, number_experiments: 17, joints_pos: (1.127556625996725, -0.9533631962588807, -0.08433324495424444, -2.4319449863829554, -1.5509184042560022, 0.026114225387573242), gripper_pos: (-1.2489358491229519, -0.07707081459747742, 0.37928506579984855, -0.6991951118523966, -0.6302920402765045, 0.23906282002034981, 0.23813254210568088)
time: 01/08/2022 15:26:54, action: 1, number_experiments: 15, joints_pos: (1.1279414335833948, -0.9529099029353638, -0.0843575636493128, -2.431849618951315, -1.5508940855609339, 0.02619791030883789), gripper_pos: (-1.2489169306802639, -0.07703182867964296, 0.3783411376820111, -0.699345544191057, -0.6303624881588757, 0.23876602344546005, 0.23780187003114123)
time: 01/08/2022 15:27:12, action: 2, number_experiments: 13, joints_pos: (1.1279037634478968, -0.9531839650920411, -0.08433324495424444, -2.4318257770934046, -1.5508702437030237, 0.026209639385342598), gripper_pos: (-1.2488445286880507, -0.07709580622670434, 0.37871845208361715, -0.6993028516154504, -0.6303346887079471, 0.23888278414345032, 0.2378838316780453)
time: 01/08/2022 15:27:30, action: 3, number_experiments: 13, joints_pos: (1.1282151381122034, -0.9531119626811524, -0.08433324495424444, -2.4318376980223597, -1.5508344809161585, 0.026209576055407524), gripper_pos: (-1.2487686196401218, -0.07711506408660893, 0.3783582635557294, -0.6993465975315936, -0.6303793465404581, 0.23877537701163806, 0.23774468513335606)
time: 01/08/2022 15:27:52, action: 0, number_experiments: 14, joints_pos: (1.1278675238238733, -0.9532912534526368, -0.08426124254335576, -2.4318376980223597, -1.5508821646319788, 0.026173872873187065), gripper_pos: (-1.2488307471445683, -0.07718222525277718, 0.3788870375872536, -0.6992501919184023, -0.6303540740055887, 0.2389330732324311, 0.2379367500037352)
time: 01/08/2022 15:28:10, action: 1, number_experiments: 13, joints_pos: (1.128228012715475, -0.9526220125010987, -0.08456021944154912, -2.431981702844137, -1.5508821646319788, 0.026185989379882812), gripper_pos: (-1.2489063853823688, -0.07680361614385536, 0.37778630390608037, -0.6994627308156192, -0.6303410444352798, 0.2386137672648261, 0.23766683818295867)
time: 01/08/2022 15:28:29, action: 2, number_experiments: 15, joints_pos: (1.1278675238238733, -0.9529685539058228, -0.08442861238588506, -2.431957860986227, -1.5508940855609339, 0.02619791030883789), gripper_pos: (-1.2489312057907347, -0.07696108507659521, 0.37852605996992544, -0.699338210159555, -0.630307472682731, 0.23884673135449117, 0.23788820191933469)
