0.000 5.828
0.010 5.966
0.020 5.307
0.030 5.165
0.040 4.863
0.050 4.613
0.060 4.123
0.070 4.204
0.080 4.360
0.090 4.493
0.100 4.448
0.110 4.522
0.120 4.313
0.130 4.752
0.140 4.092
0.150 4.565
0.160 4.328
0.170 4.479
0.180 4.568
0.190 4.607
0.200 4.835
0.210 4.249
0.220 4.377
0.230 4.380
0.240 4.234
0.250 4.191
0.260 4.116
0.270 3.872
0.280 4.280
0.290 4.585
0.300 4.883
0.310 4.820
0.320 5.135
0.330 5.293
0.340 5.532
0.350 5.357
0.360 5.609
0.370 5.585
0.380 5.390
0.390 5.690
0.400 6.308
0.410 6.733
0.420 7.668
0.430 8.477
0.440 9.633
0.450 10.172
0.460 10.757
0.470 11.266
0.480 11.689
0.490 11.677
