0.000 -2.056
0.010 -1.385
0.020 -0.331
0.030 0.213
0.040 1.213
0.050 2.609
0.060 3.007
0.070 3.424
0.080 3.264
0.090 2.770
0.100 2.582
0.110 3.170
0.120 2.787
0.130 2.647
0.140 3.009
0.150 4.052
0.160 5.052
0.170 5.123
0.180 5.068
0.190 5.164
0.200 5.165
0.210 5.115
0.220 5.169
0.230 5.643
0.240 5.506
0.250 5.588
0.260 6.175
0.270 6.301
0.280 6.498
0.290 6.144
0.300 6.526
0.310 6.730
0.320 6.184
0.330 5.981
0.340 5.966
0.350 6.208
0.360 6.478
0.370 7.270
0.380 6.709
0.390 6.461
0.400 6.409
0.410 6.373
0.420 5.442
0.430 5.792
0.440 5.107
0.450 4.526
0.460 3.705
0.470 2.495
0.480 1.485
0.490 0.720
